Monat;Neuzulassung insg;Alt Antrieb Insg;Anteil Prozent;Elektro insg;Anteil Prozent; BEV;H2;PHEV;Anz Hybride insg;Benzin Hybrid;Diesel Hybrid;Gas;Wasserstoff;
Januar;169754;62371;36.7;36911;59.2;16315;8;20588;24861;14629;10232;599;0
Dezember;311394;126520;40.6;82800;65.4;43671;22;39107;42001;28163;13838;1719;0
November;290150;102414;35.3;59610;58.2;28965;24;30621;41283;28001;13282;1521;0
Oktober;274303;87547;31.9;48039;54.9;23158;22;24859;38070;26247;11823;1438;0
September;265227;76677;28.9;41353;53.9;21188;38;20127;33909;24391;9518;1415;0
August;251044;63729;25.4;33203;52.1;16076;32;17095;29093;20167;8926;1433;0
Juli;314938;71041;22.6;35955;50.6;16798;38;19119;33369;22134;11234;1717;0
Juni;220272;39491;17.9;18896;47.8;8119;28;10749;19505;12350;7155;1090;0
Mai;168148;29025;17.3;12358;42.6;5578;25;6755;16089;10860;5229;578;0
April;120840;21709;18;10277;47.3;4635;24;5618;10955;6898;4057;477;0
März;215119;39673;18.4;19775;49.8;10329;20;9426;19309;12399;6910;589;0
Februar;239943;38974;16.2;16531;42.4;8154;23;8354;21646;14642;7004;797;0
Januar;246300;39237;15.9;16143;41.1;7492;12;8639;22166;14133;8033;928;0
Dezember;283380;30189;10.7;11360;37.6;5748;32;5580;17995;10763;7232;834;0
November;299127;31609;10.6;11001;34.8;4651;16;6334;19607;11815;7792;1001;0
Oktober;284593;32227;11.3;11935;37;4979;9;6947;19435;12583;6852;857;0
September;244622;25639;10.5;9459;36.9;5880;7;3572;15373;11114;4259;807;0
August;313748;26559;8.5;8141;30.7;5001;20;3120;16732;10491;6241;1686;0
Juli;332788;29185;8.8;9257;31.7;5963;24;3270;18290;11141;7148;1638;0
Juni;325231;26033;8;8655;33.2;5760;24;2871;15949;10064;5885;1429;0
Mai;332962;25644;7.7;7915;30.9;4630;16;3269;16037;10877;5160;1692;0
April;310715;23128;7.4;7788;33.7;4768;17;3003;13811;9622;4189;1529;0
März;345523;25634;7.4;9691;37.8;6616;14;3061;14676;9298;5378;1267;0
Februar;268867;20792;7.7;6851;33;4637;12;2202;12945;8054;4891;996;0
Januar;265702;20979;7.9;6784;32.3;4648;17;2119;13052;7977;5075;1143;0
Dezember;237058;14938;6.3;5729;38.4;3836;18;1875;8341;5378;2963;868;0
November;272674;16611;6.1;6284;37.8;4262;18;2004;9668;5874;3794;659;0
Oktober;252628;15010;5.9;5400;36;3390;14;1996;9061;6162;2899;549;0
September;200134;12734;6.4;4736;37.2;2357;17;2362;7687;6309;1378;311;0
August;316405;16916;5.3;5901;34.9;2457;13;3431;9370;7961;1409;1645;0
Juli;317848;17819;5.6;5627;31.6;2526;10;3091;10468;8394;2074;1724;0
Juni;341308;16361;4.8;5804;35.5;2651;14;3139;8327;7846;480;2230;0
Mai;305057;14579;4.8;4787;32.8;2310;12;2465;7834;7266;568;1958;0
April;314055;15594;5;5814;37.3;3171;11;2632;8226;7582;644;1554;0
März;347433;16170;4.7;6816;42.2;3792;6;3018;7856;7194;662;1498;0
Februar;261749;12041;4.6;5108;42.4;2546;3;2559;5730;5427;303;1203;0
Januar;269429;13165;4.9;5649;42.9;2764;15;2870;6248;6110;138;1268;0
Dezember;253950;11534;4.5;6315;54.8;3412;27;2876;4223;4158;65;996;0
November;302636;12891;4.3;6310;48.9;3031;20;3259;5403;4880;522;1178;0
Oktober;272855;11307;4.1;5067;44.8;2180;2;2885;5525;5233;291;715;0
September;288035;11570;4;5393;46.6;2247;28;3118;5556;5512;44;621;0
August;253680;9913;3.9;4803;48.5;2177;9;2617;4310;4263;47;800;0
Juli;283080;9861;3.5;4261;43.2;1820;24;2417;4966;4914;52;634;0
Juni;327693;9773;3;4702;48.1;2196;3;2503;4542;4513;29;529;0
Mai;323952;8939;2.8;3846;43;1520;3;2323;4520;4477;43;573;0
April;290697;8335;2.9;3587;43;1413;0;2174;4222;4199;23;526;0
März;359683;10223;2.8;4481;43.8;2191;2;2288;5191;5155;36;551;0
Februar;243602;7134;2.9;2990;41.9;1546;1;1443;3639;3606;33;505;0
Januar;241399;6494;2.7;2857;44;1323;1;1533;3142;3099;43;495;0
Dezember;256533;6861;2.7;2817;41.1;1334;2;1481;3571;3531;40;473;0
November;276567;6622;2.4;2651;40;1231;2;1418;3411;3362;49;560;0
Oktober;262724;6729;2.6;2618;38.9;1167;2;1449;3562;3516;46;549;0
September;298002;6971;2.3;3065;44;1641;4;1420;3497;3454;43;409;0
August;245076;5259;2.1;1731;32.9;895;0;836;3091;3027;64;437;0
Juli;278866;4919;1.8;1803;36.7;785;2;1016;2609;2548;61;507;0
Juni;339563;5122;1.5;1710;33.4;833;12;865;2731;2637;94;681;0
Mai;286931;4039;1.4;1381;34.2;588;1;792;2132;2032;100;526;0
April;315921;4929;1.6;1581;32.1;604;13;964;2762;2513;249;586;0
März;322913;5724;1.8;2399;41.9;1104;5;1290;2755;2301;454;570;0
Februar;250146;4793;1.9;1994;41.6;751;6;1237;2293;1907;386;506;0
January;218365;3717;1.7;1453;39.1;477;0;976;1838;1400;438;426;0
